quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,target
0.9655172413793104,0.10854092526690391,0.6761904761904762,0.08525576730190572,0.12564366632337795,0.08674101610904586,0.03535353535353536,0.25635103926097,1
0.07183908045977012,0.3612099644128114,0.7238095238095239,0.13139418254764293,0.07929969104016478,0.06815365551425032,0.06060606060606061,0.10969976905311778,1
0.41379310344827586,0.24733096085409254,0.33333333333333326,0.058174523570712136,0.08753861997940267,0.09417596034696407,0.08989898989898991,0.09122401847575057,1
0.9655172413793104,0.8416370106761565,0.21904761904761894,0.08926780341023069,0.05767250257466529,0.06939281288723669,0.020202020202020204,0.08429561200923787,1
0.9655172413793104,0.099644128113879,0.9238095238095236,0.14042126379137412,0.31925849639546855,0.30359355638166047,0.24343434343434345,0.011547344110854502,1
0.2672413793103448,0.37188612099644125,0.9238095238095236,0.08224674022066199,0.09783728115345004,0.04956629491945477,0.09696969696969697,0.1420323325635104,1
0.5517241379310345,0.058718861209964404,0.5904761904761904,0.16349047141424272,0.7713697219361483,0.21189591078066913,0.18686868686868685,0.22979214780600463,1
0.1724137931034483,0.042704626334519574,0.5333333333333332,0.4543630892678034,0.22760041194644695,0.37794299876084264,0.4666666666666667,0.2933025404157044,1
0.7068965517241379,0.5160142348754447,0.19999999999999996,0.07221664994984955,0.07826982492276004,0.1486988847583643,0.09292929292929293,0.08429561200923787,1
0.3247126436781609,0.8416370106761565,0.49523809523809526,0.07823470411233702,0.11637487126673532,0.05328376703841388,0.06060606060606061,0.8452655889145496,1
0.36494252873563215,0.05693950177935943,0.9238095238095236,0.2928786359077232,0.3120494335736354,0.37794299876084264,0.20303030303030303,0.17782909930715934,1
0.9655172413793104,0.35943060498220636,0.9238095238095236,0.06018054162487463,0.08959835221421215,0.09417596034696407,0.0787878787878788,0.2933025404157044,1
0.9655172413793104,0.8416370106761565,0.9238095238095236,0.10832497492477432,0.02059732234809475,0.12639405204460966,0.03131313131313132,0.21824480369515012,1
0.4683908045977011,0.7704626334519572,0.8666666666666667,0.0712136409227683,0.06797116374871266,0.10161090458488228,0.05858585858585859,0.384526558891455,1
0.5862068965517241,0.31850533807829184,0.47619047619047605,0.10030090270812438,0.06282183316168898,0.10161090458488228,0.10101010101010101,0.12702078521939952,1
0.7873563218390804,0.4626334519572953,0.7333333333333334,0.06820461384152457,0.0854788877445932,0.12639405204460966,0.0696969696969697,0.384526558891455,1
0.9655172413793104,0.14234875444839856,0.9238095238095236,0.18355065195586762,0.24922760041194642,0.4436183395291202,0.298989898989899,0.0069284064665127015,1
0.2844827586206896,0.26690391459074736,0.9238095238095236,0.08826479438314945,0.10298661174047373,0.13506815365551425,0.07171717171717172,0.6316397228637414,1
0.9655172413793104,0.09430604982206406,0.9238095238095236,0.17953861584754263,0.42018537590113286,0.26641883519206944,0.28585858585858587,0.03348729792147806,1
0.8132183908045977,0.11565836298932383,0.9238095238095236,0.05917753259779338,0.16683831101956745,0.13506815365551425,0.15353535353535352,0.8452655889145496,1
0.9655172413793104,0.8416370106761565,0.17142857142857126,0.1374122367101304,0.10092687950566426,0.17967781908302355,0.051515151515151514,0.08429561200923787,1
0.8333333333333333,0.8096085409252668,0.9238095238095236,0.07422266800401203,0.09268795056642636,0.10161090458488228,0.05454545454545455,0.4861431870669746,1
0.3390804597701149,0.19217081850533807,0.7047619047619047,0.15245737211634905,0.08856848609680741,0.19083023543990085,0.12828282828282828,0.06812933025404157,1
0.27586206896551724,0.49288256227758,0.24761904761904763,0.08625877632898696,0.14212152420185376,0.09417596034696407,0.12020202020202021,0.13394919168591224,1
0.5747126436781609,0.1903914590747331,0.9238095238095236,0.11534603811434303,0.11431513903192583,0.10161090458488228,0.08282828282828283,0.31755196304849886,1
0.9655172413793104,0.2615658362989324,0.9238095238095236,0.15646940822467403,0.11122554067971163,0.10161090458488228,0.10505050505050506,0.08429561200923787,1
0.5488505747126436,0.4733096085409253,0.4380952380952381,0.12537612838515547,0.1431513903192585,0.10161090458488228,0.07171717171717172,0.17782909930715934,1
0.11206896551724137,0.20284697508896796,0.8095238095238095,0.11334002006018054,0.14418125643666324,0.17967781908302355,0.12626262626262624,0.22979214780600463,1
0.9655172413793104,0.42526690391459077,0.9238095238095236,0.21664994984954863,0.08238928939237898,0.06939281288723669,0.03434343434343434,0.34872979214780603,1
0.9655172413793104,0.6992882562277579,0.9238095238095236,0.0802407221664995,0.10607621009268794,0.10161090458488228,0.07676767676767678,0.8452655889145496,1
0.6408045977011494,0.09608540925266904,0.9238095238095236,0.24874623871614843,0.22245108135942326,0.17967781908302355,0.11717171717171716,0.1420323325635104,1
0.8505747126436781,0.13523131672597863,0.9238095238095236,0.1123370110330993,0.11225540679711637,0.12639405204460966,0.12020202020202021,0.2933025404157044,1
0.9655172413793104,0.8416370106761565,0.9238095238095236,0.10732196589769308,0.3779608650875386,0.26641883519206944,0.24343434343434345,0.024249422632794455,1
0.4396551724137931,0.19395017793594305,0.9238095238095236,0.09729187562688064,0.1791967044284243,0.11648079306071872,0.15555555555555556,0.1535796766743649,1
0.0,0.5604982206405693,0.9238095238095236,0.4583751253761284,0.5149330587023687,0.3444857496902107,0.4313131313131313,0.42494226327944573,1
0.18678160919540227,0.15658362989323843,0.9238095238095236,0.12938816449348045,0.11740473738414006,0.15985130111524162,0.14242424242424243,0.31755196304849886,1
0.9655172413793104,0.07829181494661921,0.9238095238095236,0.1514543630892678,0.18331616889804325,0.30359355638166047,0.16767676767676767,0.4861431870669746,1
0.7270114942528735,0.19750889679715303,0.9238095238095236,0.09528585757271815,0.18022657054582902,0.21189591078066913,0.1090909090909091,0.5496535796766744,1
0.9655172413793104,0.7455516014234875,0.9238095238095236,0.19257773319959878,0.34088568486096804,0.15985130111524162,0.11212121212121212,0.06004618937644342,1
0.21551724137931033,0.8416370106761565,0.05714285714285716,0.119358074222668,0.06385169927909372,0.30359355638166047,0.08080808080808081,0.5496535796766744,1
0.9655172413793104,0.06227758007117437,0.9238095238095236,0.31293881644934807,0.2790937178166838,0.6047087980173482,0.34848484848484845,0.09699769053117782,1
0.9655172413793104,0.8416370106761565,0.9238095238095236,0.13640922768304914,0.09680741503604531,0.15985130111524162,0.06464646464646465,0.21824480369515012,1
0.9655172413793104,0.8416370106761565,0.9238095238095236,0.16649949849548645,0.061791967044284246,0.21189591078066913,0.05454545454545455,0.17782909930715934,1
0.9655172413793104,0.1494661921708185,0.9238095238095236,0.1444332998996991,0.15550978372811533,0.13506815365551425,0.12323232323232323,0.8452655889145496,1
0.6609195402298851,0.046263345195729534,0.49523809523809526,0.9799398194583752,0.8290422245108136,0.748451053283767,0.9161616161616162,0.8452655889145496,1
0.05747126436781609,0.30071174377224197,0.5619047619047619,0.16950852557673018,0.13594232749742532,0.37794299876084264,0.18787878787878787,0.42494226327944573,1
0.7413793103448275,0.2295373665480427,0.9238095238095236,0.09327983951855567,0.1297631307929969,0.30359355638166047,0.16464646464646462,0.17782909930715934,1
0.396551724137931,0.051601423487544484,0.9238095238095236,0.6308926780341023,0.6766220391349125,0.4969021065675341,0.6242424242424243,0.8452655889145496,1
0.4454022988505747,0.8416370106761565,0.9238095238095236,0.1855566700100301,0.06694129763130792,0.19083023543990085,0.08484848484848485,0.1535796766743649,1
0.9655172413793104,0.49644128113878994,0.9238095238095236,0.23971915747241726,0.25025746652935116,0.19083023543990085,0.15555555555555556,0.053117782909930716,1
0.9655172413793104,0.11387900355871886,0.9238095238095236,0.28986960882647944,0.4747682801235839,0.4969021065675341,0.40909090909090906,0.026558891454965358,1
0.9655172413793104,0.8416370106761565,0.05714285714285716,0.18856569709127383,0.10710607621009269,0.12639405204460966,0.08282828282828283,0.25635103926097,1
0.82183908045977,0.22597864768683273,0.9238095238095236,0.1424272818455366,0.15036045314109164,0.19083023543990085,0.12020202020202021,0.22979214780600463,1
0.3218390804597701,0.4483985765124555,0.7333333333333334,0.1213640922768305,0.11019567456230689,0.13506815365551425,0.13636363636363635,0.25635103926097,1
0.8189655172413793,0.2508896797153025,0.12380952380952381,0.14944834503510532,0.121524201853759,0.15985130111524162,0.12323232323232323,0.7297921478060047,1
0.45114942528735635,0.08540925266903915,0.9238095238095236,0.30992978936810434,0.2152420185375901,0.2255266418835192,0.19494949494949493,0.34872979214780603,1
0.410919540229885,0.8220640569395017,0.6190476190476191,0.10631895687061184,0.1678681771369722,0.241635687732342,0.10505050505050506,0.5496535796766744,1
0.9655172413793104,0.8416370106761565,0.9238095238095236,0.12236710130391174,0.08444902162718847,0.15985130111524162,0.10505050505050506,0.31755196304849886,1
0.7442528735632183,0.8416370106761565,0.9238095238095236,0.09829488465396188,0.08135942327497425,0.21189591078066913,0.11717171717171716,0.8452655889145496,1
0.9655172413793104,0.8416370106761565,0.9238095238095236,0.2246740220661986,0.15242018537590113,0.06939281288723669,0.12828282828282828,0.16628175519630484,1
0.9655172413793104,0.8416370106761565,0.9238095238095236,0.2768304914744233,0.3357363542739444,0.26641883519206944,0.28787878787878785,0.023094688221709007,1
0.47413793103448276,0.1797153024911032,0.6666666666666667,0.1995987963891675,0.07518022657054582,0.11648079306071872,0.17676767676767677,0.7297921478060047,1
0.6925287356321839,0.6637010676156583,0.12380952380952381,0.1354062186559679,0.15653964984552007,0.3444857496902107,0.24343434343434345,0.06466512702078521,1
0.9655172413793104,0.21530249110320285,0.9238095238095236,0.11735205616850551,0.2512873326467559,0.37794299876084264,0.2222222222222222,0.10969976905311778,1
0.9655172413793104,0.3220640569395018,0.9238095238095236,0.18455366098294884,0.2451081359423275,0.1486988847583643,0.14646464646464646,0.20323325635103925,1
0.9655172413793104,0.8416370106761565,0.21904761904761894,0.2858575727181545,0.053553038105046344,0.2255266418835192,0.1090909090909091,0.1905311778290993,1
0.2183908045977011,0.592526690391459,0.9238095238095236,0.23470411233701102,0.09062821833161688,0.15985130111524162,0.1191919191919192,0.7297921478060047,1
0.8793103448275862,0.2562277580071174,0.9238095238095236,0.09929789368104312,0.2368692070030896,0.30359355638166047,0.22626262626262625,0.1535796766743649,1
0.9195402298850575,0.8416370106761565,0.7809523809523808,0.23771313941825475,0.24407826982492276,0.241635687732342,0.2303030303030303,0.04965357967667436,1
0.19252873563218392,0.0889679715302491,0.8857142857142857,0.21063189568706117,0.2976313079299691,0.4969021065675341,0.3323232323232323,0.22979214780600463,1
0.9655172413793104,0.18505338078291814,0.7714285714285714,0.21263791374122368,0.13388259526261587,0.2255266418835192,0.1525252525252525,0.4861431870669746,1
0.8620689655172413,0.11209964412811388,0.7619047619047619,0.29889669007021064,0.23583934088568487,0.17967781908302355,0.19292929292929292,0.25635103926097,1
0.42241379310344823,0.8416370106761565,0.8761904761904762,0.16449348044132397,0.101956745623069,0.11648079306071872,0.14646464646464646,0.4861431870669746,1
0.5660919540229885,0.1387900355871886,0.9238095238095236,0.20661985957873621,0.14521112255406796,0.19083023543990085,0.22626262626262625,0.21824480369515012,1
0.9655172413793104,0.3309608540925266,0.9238095238095236,0.20361083249749248,0.3202883625128733,0.2255266418835192,0.28787878787878785,0.05658198614318707,1
0.9655172413793104,0.5124555160142348,0.9238095238095236,0.08324974924774323,0.30690010298661174,0.6047087980173482,0.2828282828282828,0.10277136258660508,1
0.24425287356321834,0.3345195729537367,0.5333333333333332,0.17352056168505517,0.1050463439752832,0.2255266418835192,0.23939393939393938,0.1420323325635104,1
0.5172413793103448,0.20106761565836298,0.3904761904761904,0.19157472417251756,0.17507723995880534,0.19083023543990085,0.19292929292929292,0.42494226327944573,1
0.8247126436781609,0.3167259786476868,0.20952380952380945,0.18054162487462388,0.13697219361483007,0.37794299876084264,0.1808080808080808,0.1905311778290993,1
0.2729885057471264,0.8024911032028469,0.5523809523809524,0.17051153460381144,0.1822863027806385,0.13506815365551425,0.1717171717171717,0.384526558891455,1
0.4022988505747126,0.43238434163701067,0.8285714285714285,0.1464393179538616,0.14727085478887744,0.15985130111524162,0.1808080808080808,0.42494226327944573,1
0.9655172413793104,0.5017793594306049,0.9238095238095236,0.18254764292878636,0.17610710607621008,0.19083023543990085,0.13232323232323231,0.5496535796766744,1
0.5833333333333333,0.8416370106761565,0.9238095238095236,0.1675025075225677,0.19361483007209063,0.15985130111524162,0.13636363636363635,0.34872979214780603,1
0.3275862068965517,0.6103202846975089,0.9238095238095236,0.22868605817452356,0.1658084449021627,0.26641883519206944,0.13232323232323231,0.25635103926097,1
0.9310344827586207,0.29359430604982206,0.08571428571428563,0.1905717151454363,0.25849639546858905,0.17967781908302355,0.24141414141414141,0.12009237875288684,1
0.6810344827586207,0.3096085409252669,0.9238095238095236,0.15947843530591777,0.16374871266735325,0.19083023543990085,0.16767676767676767,0.5496535796766744,1
0.896551724137931,0.786476868327402,0.9238095238095236,0.14543630892678033,0.3614830072090628,0.4436183395291202,0.2808080808080808,0.06004618937644342,1
0.9655172413793104,0.7313167259786476,0.9238095238095236,0.1283851554663992,0.17404737384140062,0.26641883519206944,0.17676767676767677,0.1905311778290993,1
0.9281609195402298,0.5587188612099644,0.9238095238095236,0.12738214643931794,0.2708547888774459,0.2255266418835192,0.16060606060606059,0.6316397228637414,1
0.3735632183908046,0.14056939501779359,0.35238095238095224,0.2547642928786359,0.28527291452111225,0.26641883519206944,0.24141414141414141,0.25635103926097,1
0.4655172413793103,0.8416370106761565,0.9238095238095236,0.1334002006018054,0.08341915550978372,0.26641883519206944,0.19898989898989897,0.17782909930715934,1
0.6005747126436781,0.8416370106761565,0.9238095238095236,0.19658976930792377,0.08032955715756951,0.15985130111524162,0.16060606060606059,0.2933025404157044,1
0.23275862068965514,0.7153024911032028,0.48571428571428577,0.2136409227683049,0.1627188465499485,0.241635687732342,0.16464646464646462,0.5496535796766744,1
0.5775862068965517,0.8309608540925266,0.9238095238095236,0.12637913741223672,0.06488156539649845,0.21189591078066913,0.20707070707070707,0.25635103926097,1
